Sales Person,Product,Country,Date,Amount,Boxes,Order Status
Wilone O'Kielt,70% Dark Bites,Canada,2023-01-23,9240.75,617,Delivered
Curtice Advani,99% Dark & Pure,UK,2023-01-23,2625.75,139,Delivered
Dotty Strutley,Mint Chip Choco,Australia,2023-01-23,711.0,60,Delivered
Gigi Bohling,Organic Choco Syrup,USA,2023-01-23,7713.0,336,Delivered
Husein Augar,Choco Coated Almonds,UK,2023-01-23,812.25,63,Delivered
Roddy Speechley,Drinking Coco,Canada,2023-01-24,5321.25,592,Delivered
Madelene Upcott,Eclairs,New Zealand,2023-01-24,4090.5,195,Delivered
Brien Boise,Drinking Coco,UK,2023-01-24,5332.5,667,Delivered
Kelci Walkden,Smooth Silky Salty,New Zealand,2023-01-24,616.5,62,Delivered
Jan Morforth,Peanut Butter Cubes,Australia,2023-01-24,10055.25,458,Delivered
Kelci Walkden,70% Dark Bites,UK,2023-01-24,1478.25,83,Delivered
Brien Boise,Spicy Special Slims,India,2023-01-24,6174.0,309,Delivered
Gunar Cockshoot,Manuka Honey Choco,Canada,2023-01-24,4527.0,239,Delivered
Jehu Rudeforth,Peanut Butter Cubes,New Zealand,2023-01-24,6732.0,293,Delivered
Brien Boise,Eclairs,India,2023-01-24,513.0,23,Delivered
Wilone O'Kielt,50% Dark Bites,USA,2023-01-24,1212.75,56,Delivered
Gigi Bohling,99% Dark & Pure,USA,2023-01-24,1500.75,63,Cancelled
Barr Faughny,Baker's Choco Chips,India,2023-01-24,4137.75,218,Delivered
Andria Kimpton,Peanut Butter Cubes,Australia,2023-01-24,6738.75,293,Delivered
Oby Sorrel,Manuka Honey Choco,UK,2023-01-24,1867.5,104,Delivered
Beverie Moffet,Orange Choco,India,2023-01-24,864.0,108,Delivered
Husein Augar,Mint Chip Choco,New Zealand,2023-01-25,821.25,92,Delivered
Madelene Upcott,Baker's Choco Chips,USA,2023-01-25,10050.75,503,Delivered
Brien Boise,Raspberry Choco,Australia,2023-01-25,9247.5,1322,Delivered
Brien Boise,Baker's Choco Chips,India,2023-01-25,5341.5,282,Delivered
Roddy Speechley,Smooth Silky Salty,India,2023-01-25,5226.75,747,Delivered
Dotty Strutley,70% Dark Bites,India,2023-01-25,10833.75,571,Delivered
Roddy Speechley,Eclairs,Australia,2023-01-26,913.5,42,Delivered
Andria Kimpton,Choco Coated Almonds,Australia,2023-01-26,1035.0,69,Delivered
Gunar Cockshoot,70% Dark Bites,Canada,2023-01-26,330.75,17,Delivered
Gunar Cockshoot,Caramel Stuffed Bars,UK,2023-01-26,7002.0,319,Delivered
Husein Augar,Drinking Coco,USA,2023-01-26,5760.0,480,Delivered
Beverie Moffet,Choco Coated Almonds,Australia,2023-01-26,2758.5,213,Delivered
Dotty Strutley,Drinking Coco,UK,2023-01-26,4632.75,515,Delivered
Jan Morforth,Smooth Silky Salty,UK,2023-01-26,3145.5,450,Delivered
Kaine Padly,Orange Choco,New Zealand,2023-01-26,10719.0,1787,Delivered
Barr Faughny,White Choc,India,2023-01-26,2304.0,96,Delivered
Kelci Walkden,Mint Chip Choco,New Zealand,2023-01-26,351.0,30,Cancelled
Dotty Strutley,After Nines,USA,2023-01-26,2481.75,178,Delivered
Wilone O'Kielt,Organic Choco Syrup,UK,2023-01-26,3035.25,145,Delivered
Husein Augar,Manuka Honey Choco,USA,2023-01-26,1053.0,51,Delivered
Ches Bonnell,Eclairs,USA,2023-01-26,1053.0,51,Delivered
Madelene Upcott,Milk Bars,Canada,2023-01-26,5737.5,274,Delivered
Brien Boise,Baker's Choco Chips,USA,2023-01-26,3892.5,229,Delivered
Camilla Castle,Drinking Coco,USA,2023-01-26,5186.25,433,Delivered
Kaine Padly,Smooth Silky Salty,Australia,2023-01-26,5874.75,840,Delivered
Dotty Strutley,Peanut Butter Cubes,USA,2023-01-26,6354.0,303,Delivered
Husein Augar,Eclairs,USA,2023-01-26,4050.0,185,Delivered
Ches Bonnell,Orange Choco,USA,2023-01-26,3570.75,325,Delivered
Wilone O'Kielt,Drinking Coco,USA,2023-01-26,6779.25,678,Cancelled
Mallorie Waber,Drinking Coco,USA,2023-01-26,6039.0,504,Delivered
Kaine Padly,Spicy Special Slims,Canada,2023-01-26,2760.75,139,Cancelled
Beverie Moffet,Raspberry Choco,UK,2023-01-26,4747.5,528,Delivered
Karlen McCaffrey,Choco Coated Almonds,New Zealand,2023-01-27,10174.5,679,Delivered
Kelci Walkden,Mint Chip Choco,Australia,2023-01-27,2715.75,227,Delivered
Oby Sorrel,Choco Coated Almonds,Canada,2023-01-27,4918.5,352,Delivered
Roddy Speechley,Eclairs,UK,2023-01-27,8691.75,396,Delivered
Van Tuxwell,Choco Coated Almonds,UK,2023-01-27,2065.5,159,Delivered
Wilone O'Kielt,Orange Choco,New Zealand,2023-01-27,3804.75,381,Delivered
Brien Boise,Spicy Special Slims,India,2023-01-27,202.5,13,Cancelled
Dennison Crosswaite,Choco Coated Almonds,Canada,2023-01-27,14337.0,1304,Delivered
Curtice Advani,Drinking Coco,USA,2023-01-27,5141.25,643,Delivered
Mallorie Waber,Smooth Silky Salty,UK,2023-01-27,3048.75,436,Delivered
Jehu Rudeforth,Fruit & Nut Bars,UK,2023-01-27,6489.0,250,Delivered
Gigi Bohling,Drinking Coco,Australia,2023-01-27,5530.5,461,Delivered
Brien Boise,Organic Choco Syrup,India,2023-01-30,10527.75,458,Delivered
Karlen McCaffrey,Peanut Butter Cubes,UK,2023-01-30,7722.0,368,Delivered
Gunar Cockshoot,Drinking Coco,USA,2023-01-30,4511.25,452,Delivered
Mallorie Waber,Drinking Coco,USA,2023-01-30,5712.75,572,Delivered
Jehu Rudeforth,Milk Bars,India,2023-01-30,7299.0,385,Delivered
Van Tuxwell,Drinking Coco,UK,2023-01-30,5044.5,631,Delivered
Marney O'Breen,Milk Bars,UK,2023-01-30,841.5,39,Delivered
Barr Faughny,99% Dark & Pure,UK,2023-01-30,5463.0,274,Cancelled
Brien Boise,70% Dark Bites,USA,2023-01-30,762.75,45,Delivered
Husein Augar,Almond Choco,USA,2023-01-30,8646.75,961,Cancelled
Husein Augar,Fruit & Nut Bars,UK,2023-01-31,2592.0,96,Delivered
Van Tuxwell,Mint Chip Choco,New Zealand,2023-01-31,10260.0,1026,Delivered
Gunar Cockshoot,Eclairs,USA,2023-01-31,6696.0,305,Delivered
Curtice Advani,Smooth Silky Salty,UK,2023-01-31,9722.25,1081,Delivered
Brien Boise,Milk Bars,Canada,2023-01-31,2238.75,112,Delivered
Andria Kimpton,Peanut Butter Cubes,Australia,2023-01-31,4250.25,185,Delivered
Dotty Strutley,Fruit & Nut Bars,Australia,2023-01-31,7209.0,278,Delivered
Curtice Advani,Raspberry Choco,USA,2023-01-31,15837.75,1980,Cancelled
Brien Boise,Drinking Coco,India,2023-01-31,6174.0,618,Delivered
Andria Kimpton,Spicy Special Slims,UK,2023-01-31,922.5,49,Delivered
Oby Sorrel,50% Dark Bites,New Zealand,2023-01-31,7479.0,374,Delivered
Wilone O'Kielt,Orange Choco,USA,2023-01-31,16616.25,2770,Delivered
Dennison Crosswaite,Caramel Stuffed Bars,New Zealand,2023-01-31,27.0,2,Delivered
Kelci Walkden,Baker's Choco Chips,USA,2023-02-01,2605.5,163,Delivered
Marney O'Breen,Peanut Butter Cubes,USA,2023-02-01,1201.5,55,Delivered
Madelene Upcott,White Choc,New Zealand,2023-02-02,4632.75,232,Delivered
Brien Boise,Raspberry Choco,Australia,2023-02-02,796.5,100,Cancelled
Madelene Upcott,Almond Choco,Canada,2023-02-02,3442.5,313,Delivered
Camilla Castle,Fruit & Nut Bars,UK,2023-02-02,19257.75,771,Delivered
Roddy Speechley,Orange Choco,India,2023-02-02,8815.5,980,Delivered
Wilone O'Kielt,50% Dark Bites,New Zealand,2023-02-02,3458.25,183,Delivered
Dotty Strutley,Baker's Choco Chips,Canada,2023-02-02,4151.25,245,Delivered
Gunar Cockshoot,50% Dark Bites,UK,2023-02-02,1152.0,55,Delivered
Beverie Moffet,Raspberry Choco,India,2023-02-02,8586.0,1718,Delivered
Madelene Upcott,Raspberry Choco,Australia,2023-02-02,7638.75,1092,Delivered
Brien Boise,Smooth Silky Salty,India,2023-02-02,7287.75,1042,Delivered
Barr Faughny,After Nines,UK,2023-02-02,12575.25,1048,Delivered
Van Tuxwell,70% Dark Bites,UK,2023-02-02,6723.0,337,Delivered
Jehu Rudeforth,Mint Chip Choco,New Zealand,2023-02-02,3208.5,268,Delivered
Gunar Cockshoot,Spicy Special Slims,India,2023-02-02,3132.0,174,Delivered
Camilla Castle,Mint Chip Choco,UK,2023-02-02,1107.0,86,Delivered
Brien Boise,After Nines,UK,2023-02-02,4612.5,385,Delivered
Marney O'Breen,Manuka Honey Choco,Canada,2023-02-03,7778.25,371,Delivered
Roddy Speechley,Drinking Coco,Canada,2023-02-03,5955.75,745,Delivered
Brien Boise,50% Dark Bites,UK,2023-02-03,4592.25,219,Delivered
Madelene Upcott,Drinking Coco,India,2023-02-03,5427.0,543,Delivered
Gigi Bohling,Choco Coated Almonds,India,2023-02-03,1784.25,163,Delivered
Jan Morforth,Drinking Coco,USA,2023-02-03,5654.25,707,Cancelled
Jan Morforth,Organic Choco Syrup,UK,2023-02-03,7866.0,414,Delivered
Roddy Speechley,85% Dark Bars,India,2023-02-03,2297.25,96,Delivered
Karlen McCaffrey,Choco Coated Almonds,India,2023-02-03,976.5,98,Delivered
Gunar Cockshoot,Choco Coated Almonds,India,2023-02-03,366.75,31,Delivered
Gigi Bohling,Fruit & Nut Bars,Canada,2023-02-03,2592.0,113,Delivered
Kelci Walkden,Raspberry Choco,USA,2023-02-03,14118.75,2017,Delivered
Dotty Strutley,Organic Choco Syrup,Canada,2023-02-06,3312.0,158,Delivered
Gunar Cockshoot,Drinking Coco,India,2023-02-06,5521.5,614,Delivered
Madelene Upcott,Baker's Choco Chips,UK,2023-02-06,8147.25,453,Delivered
Dotty Strutley,Manuka Honey Choco,Canada,2023-02-06,650.25,29,Delivered
Husein Augar,Choco Coated Almonds,USA,2023-02-06,1813.5,140,Delivered
Roddy Speechley,Orange Choco,USA,2023-02-06,2567.25,428,Delivered
Barr Faughny,Smooth Silky Salty,New Zealand,2023-02-06,265.5,23,Delivered
Oby Sorrel,Manuka Honey Choco,USA,2023-02-07,121.5,7,Delivered
Jan Morforth,Spicy Special Slims,USA,2023-02-07,8115.75,451,Delivered
Dotty Strutley,85% Dark Bars,India,2023-02-07,11306.25,539,Delivered
Van Tuxwell,White Choc,Canada,2023-02-07,2043.0,98,Delivered
Ches Bonnell,Orange Choco,USA,2023-02-07,4916.25,820,Delivered
Husein Augar,Organic Choco Syrup,UK,2023-02-07,798.75,39,Cancelled
Barr Faughny,Eclairs,UK,2023-02-08,2128.5,107,Delivered
Jehu Rudeforth,Mint Chip Choco,UK,2023-02-08,6212.25,444,Delivered
Jehu Rudeforth,99% Dark & Pure,USA,2023-02-08,8759.25,365,Delivered
Wilone O'Kielt,Mint Chip Choco,New Zealand,2023-02-08,1356.75,136,Delivered
Van Tuxwell,Manuka Honey Choco,India,2023-02-08,8500.5,370,Delivered
Brien Boise,Smooth Silky Salty,UK,2023-02-08,1554.75,223,Delivered
Madelene Upcott,Peanut Butter Cubes,USA,2023-02-08,5305.5,222,Delivered
Dotty Strutley,Raspberry Choco,New Zealand,2023-02-08,2223.0,445,Delivered
Wilone O'Kielt,Manuka Honey Choco,India,2023-02-09,4317.75,206,Delivered
Beverie Moffet,Mint Chip Choco,New Zealand,2023-02-09,5265.0,405,Delivered
Brien Boise,Raspberry Choco,USA,2023-02-09,684.0,69,Delivered
Wilone O'Kielt,50% Dark Bites,UK,2023-02-09,3145.5,186,Delivered
Barr Faughny,Organic Choco Syrup,USA,2023-02-09,1701.0,90,Delivered
Beverie Moffet,Spicy Special Slims,India,2023-02-09,657.0,37,Delivered
Roddy Speechley,Choco Coated Almonds,UK,2023-02-09,3548.25,323,Delivered
Madelene Upcott,After Nines,UK,2023-02-09,5793.75,580,Delivered
Dotty Strutley,70% Dark Bites,UK,2023-02-10,13.5,1,Delivered
Barr Faughny,Manuka Honey Choco,New Zealand,2023-02-10,5577.75,294,Delivered
Wilone O'Kielt,Drinking Coco,USA,2023-02-10,6030.0,603,Delivered
Kelci Walkden,Choco Coated Almonds,New Zealand,2023-02-13,4473.0,448,Delivered
Kelci Walkden,Spicy Special Slims,New Zealand,2023-02-13,15252.75,898,Delivered
Gunar Cockshoot,Drinking Coco,UK,2023-02-13,5217.75,522,Delivered
Dotty Strutley,99% Dark & Pure,India,2023-02-13,5280.75,252,Delivered
Van Tuxwell,Fruit & Nut Bars,USA,2023-02-13,6032.25,233,Delivered
Jan Morforth,After Nines,India,2023-02-13,5316.75,532,Delivered
Roddy Speechley,Peanut Butter Cubes,USA,2023-02-13,7481.25,375,Delivered
Beverie Moffet,Manuka Honey Choco,Canada,2023-02-13,10761.75,567,Delivered
Curtice Advani,Raspberry Choco,New Zealand,2023-02-13,10395.0,1040,Delivered
Jehu Rudeforth,99% Dark & Pure,UK,2023-02-13,10140.75,441,Delivered
Gunar Cockshoot,Mint Chip Choco,India,2023-02-14,5703.75,519,Delivered
Andria Kimpton,Manuka Honey Choco,Australia,2023-02-14,13842.0,769,Delivered
Roddy Speechley,70% Dark Bites,USA,2023-02-14,9438.75,497,Delivered
Gunar Cockshoot,99% Dark & Pure,USA,2023-02-14,6079.5,290,Delivered
Rafaelita Blaksland,50% Dark Bites,India,2023-02-14,5186.25,236,Delivered
Andria Kimpton,Choco Coated Almonds,New Zealand,2023-02-14,9598.5,686,Delivered
Van Tuxwell,99% Dark & Pure,India,2023-02-14,6243.75,313,Delivered
Gigi Bohling,Drinking Coco,USA,2023-02-14,5429.25,453,Delivered
Karlen McCaffrey,Baker's Choco Chips,UK,2023-02-15,5406.75,361,Cancelled
Brien Boise,Manuka Honey Choco,UK,2023-02-15,14733.0,819,Delivered
Gunar Cockshoot,Orange Choco,Canada,2023-02-15,13038.75,1863,Delivered
Madelene Upcott,85% Dark Bars,India,2023-02-15,7429.5,338,Delivered
Karlen McCaffrey,Smooth Silky Salty,UK,2023-02-15,16249.5,2322,Delivered
Gigi Bohling,Eclairs,Australia,2023-02-15,1845.0,84,Delivered
Kelci Walkden,Choco Coated Almonds,USA,2023-02-15,4540.5,455,Delivered
Madelene Upcott,Fruit & Nut Bars,UK,2023-02-15,3611.25,139,Delivered
Wilone O'Kielt,Baker's Choco Chips,India,2023-02-15,6365.25,336,Delivered
Oby Sorrel,Orange Choco,USA,2023-02-15,1597.5,146,Delivered
Dotty Strutley,Raspberry Choco,Canada,2023-02-15,7020.0,1404,Delivered
Beverie Moffet,99% Dark & Pure,Australia,2023-02-15,11952.0,630,Delivered
Husein Augar,Eclairs,Canada,2023-02-15,2760.75,126,Delivered
Curtice Advani,Fruit & Nut Bars,New Zealand,2023-02-15,4446.0,171,Delivered
Wilone O'Kielt,Organic Choco Syrup,Canada,2023-02-15,13.5,1,Delivered
Dennison Crosswaite,Eclairs,UK,2023-02-15,3532.5,186,Delivered
Karlen McCaffrey,Raspberry Choco,Canada,2023-02-16,1536.75,154,Delivered
Gunar Cockshoot,Eclairs,UK,2023-02-16,1527.75,85,Delivered
Husein Augar,85% Dark Bars,India,2023-02-16,1953.0,79,Cancelled
Kelci Walkden,50% Dark Bites,India,2023-02-16,1356.75,65,Delivered
Husein Augar,Choco Coated Almonds,Canada,2023-02-16,2947.5,227,Delivered
Roddy Speechley,Orange Choco,UK,2023-02-16,12559.5,1256,Delivered
Marney O'Breen,Spicy Special Slims,UK,2023-02-16,6826.5,456,Delivered
Dennison Crosswaite,Baker's Choco Chips,India,2023-02-16,249.75,16,Delivered
Gunar Cockshoot,Fruit & Nut Bars,India,2023-02-16,8964.0,374,Delivered
Kaine Padly,Caramel Stuffed Bars,Australia,2023-02-16,4828.5,255,Delivered
Gigi Bohling,White Choc,USA,2023-02-16,7704.0,351,Delivered
Husein Augar,50% Dark Bites,UK,2023-02-16,6543.0,385,Delivered
Gunar Cockshoot,Mint Chip Choco,USA,2023-02-16,4797.0,437,Delivered
